"","x_vals","mean.h"
"h1",2020-02-03,-0.92450174731148
"h2",2020-02-04,-1.24494256630944
"h3",2020-02-05,-1.5470915381608
"h4",2020-02-06,-1.83573179466763
"h5",2020-02-07,-2.10847729073268
"h6",2020-02-10,-2.37522811078455
"h7",2020-02-11,-2.62672615040992
"h8",2020-02-12,-2.86264420961597
"h9",2020-02-13,-3.08840484326101
"h10",2020-02-14,-3.30101021929954
"h11",2020-02-18,-3.50128484326878
"h12",2020-02-19,-3.68772383931364
"h13",2020-02-20,-3.86358009988115
"h14",2020-02-21,-4.01985532445775
"h15",2020-02-24,-4.1667036369983
"h16",2020-02-25,-4.30181734727754
"h17",2020-02-26,-4.42779004994918
"h18",2020-02-27,-4.53764802037283
"h19",2020-02-28,-4.63799554368474
"h20",2020-03-02,-4.72663014840185
"h21",2020-03-03,-4.80483913087558
"h22",2020-03-04,-4.8711150881143
"h23",2020-03-05,-4.92547255988818
"h24",2020-03-06,-4.97273207920098
"h25",2020-03-09,-5.00383371478586
"h26",2020-03-10,-5.03686227739766
"h27",2020-03-11,-5.06445474099666
"h28",2020-03-12,-5.08910200359074
"h29",2020-03-13,-5.12349214257009
"h30",2020-03-16,-5.16560688972987
"h31",2020-03-17,-5.2366519501015
"h32",2020-03-18,-5.30290159398266
"h33",2020-03-19,-5.36657773797852
"h34",2020-03-20,-5.42100356367846
"h35",2020-03-23,-5.47426612099342
"h36",2020-03-24,-5.51251708497276
"h37",2020-03-25,-5.57764757170423
"h38",2020-03-26,-5.63546690511359
"h39",2020-03-27,-5.69351153185189
"h40",2020-03-30,-5.74633265758733
"h41",2020-03-31,-5.79233039806169
"h42",2020-04-01,-5.8215660930229
"h43",2020-04-02,-5.85248482623634
"h44",2020-04-03,-5.87053427416997
"h45",2020-04-06,-5.87326014763692
"h46",2020-04-07,-5.8858573285512
"h47",2020-04-08,-5.88720878310438
"h48",2020-04-09,-5.88082720411248
"h49",2020-04-13,-5.86832997521768
"h50",2020-04-14,-5.84029533811419
"h51",2020-04-15,-5.80529094284335
"h52",2020-04-16,-5.76469197266267
"h53",2020-04-17,-5.71919586336994
"h54",2020-04-20,-5.66757183625865
"h55",2020-04-21,-5.5998169500857
"h56",2020-04-22,-5.52742295543366
"h57",2020-04-23,-5.44237803095937
"h58",2020-04-24,-5.35020581188918
"h59",2020-04-27,-5.2448316056612
"h60",2020-04-28,-5.12324956344481
"h61",2020-04-29,-4.98986844825863
